x,y
461.95315556839347,245.58746167019035
400.9348941871941,288.8369427039414
416.47118262534013,277.8248883298797
463.6502240151539,244.38458685960524
399.22503075897134,290.0488865423153
464.05070533900926,247.33167131636918
402.64241438989177,289.6478167676372
418.44263924928043,278.7599610240759
465.8514429154371,246.09079207960906
400.59513404123226,291.0585873928152
466.5033061504038,249.37112232410595
405.02824197723726,290.78080817117774
421.04292965232645,279.99329303013803
468.4188313091169,248.08082200280762
402.5152085693383,292.47359085215487
418.4490316655977,289.8866889487923
431.83732325515086,282.0158764633534
476.2258690209334,255.92039460990952
404.51138094075617,298.0804629347404
418.00427106848775,289.65216118537285
431.2359270832013,281.7216104219984
475.3717771016991,255.26826258200333
404.2481337117506,297.8970660932881
418.9883859930766,290.1710971561204
432.1054764159701,282.14708509551895
475.6712672364955,255.49693481802893
405.2348146362615,298.58445857130243
407.59720032546306,297.25408847726106
476.4960153186928,257.41214823674454
400.0363479708636,301.6262830891556
407.284164091567,297.1160649944733
475.66136163244585,256.7816514606204
399.8447229191347,301.5044504138999
408.77472725625614,297.77328194583066
476.2105511090942,257.1965087843388
401.1716761352788,302.3481097309017
399.32890766601923,301.57397531525754
483.82441057155677,252.30927241131167
402.9224430189961,299.47878154219785
399.1244564812865,301.4938831047074
483.0247888266979,251.65023510071273
402.7319910978844,299.35071298171357
404.20898141248887,303.48570742144926
487.4070363249855,255.2620235797266
406.71826353721923,302.0312644302044
391.1311883076562,303.20718049174536
472.5027970432685,252.93837005486523
396.1471423053699,300.10848249880735
393.4626280098238,304.0550188729033
475.08230328240853,254.91332218007847
398.0407116356035,301.29863940654167
400.1798442300968,306.4977643236174
481.4597020149229,259.7960617482179
403.38374261857246,304.6568714665396
398.79940610129165,301.4128327784155
406.23442008941225,297.03745559066346
399.7005582689751,301.7652539112854
406.9114842409337,297.5207225191685
414.7035816030267,284.652779458216
401.74277702595964,293.0863555899264
410.91213004075075,282.6027047041257
398.80259306709144,290.9690685293254
396.73876621447914,288.79322135178165
398.1945399335872,287.739687253177
402.21929653961405,291.3199661762587
402.6384451647606,291.0401199400169
409.74108049710065,283.2627315179141
405.7536011981376,286.01821865735684
410.85054911527675,283.8524749535784
406.632371125195,286.7249662292761
417.4581372623055,278.3934050521134
403.6389018587818,287.8934426983314
419.33628394851706,279.49821108457127
405.114555063356,289.03769341742617
420.6987806686237,280.9062906381074
421.89202013010714,281.60361496979056
408.2129244801782,284.80582076461934
412.76734093648577,287.1723544490575
410.31030882069814,289.7645444780029
411.94862145099046,290.57931083384034
398.31164206433056,294.2148877833914
402.882317443047,296.23540834899916
381.00919692109005,304.17811880633155
388.7503988370142,306.94728670307245
413.9159107049262,290.91000022249204
398.51723087985636,291.2065898447286
419.6507812132957,232.11565360385822
420.3605121971335,277.0956419488439
419.7831019711009,240.50162840193832
412.3205522892339,325.90429643690686
410.476827791248,327.7741413220716
412.6932681678985,328.3213664449008
427.23140549216146,297.77062940334747
419.86549812423397,295.5004099123308
414.74952500330977,285.61697810226866
414.64601500459526,285.6897997024109
414.9429831899168,285.7475669029109
414.83891104023786,285.8198872147209
412.4744519473764,294.610996454656
411.79614120592413,294.20287391019883
414.96358991276236,282.0530158885555
413.7887566272952,281.23060619391185
419.23221849764235,279.4038297875882
418.8652080584898,279.13227877617527
410.59720432574306,277.601430593144
411.7136461081,278.54588136541656
410.03203392416293,278.1125800983863
411.1484803992747,279.05109700713064
409.8570503321511,282.7923326376794
409.87595130130507,282.80744507213456
409.2796620302383,283.2893877205067
409.3012146391767,283.30651385086196
409.9682818457034,288.90936734513195
409.4171133530531,288.4946838054272
405.5444503457367,270.9266661953427
406.48413878897566,271.44159366832866
408.740097581937,268.3625048123913
409.6992065225902,268.90281380030814
403.63835606681494,285.18466762448577
426.1852772774153,269.3427481383711
654.5746051075614,156.12830687829592
618.5462949480717,193.9917938144681
627.3742193719069,188.89308385850018
588.0746852206472,198.27619132366954
595.5902438064084,193.83981482388208
586.0095413026323,189.27407356594767
594.0782680331358,183.96679042562755
562.2438145504495,196.3641012965877
590.8749896167876,177.75279143790885
562.5848776376777,197.49474230333703
591.0887205149647,179.3548906604774
613.7095910635172,173.13748826039955
415.0311085881989,282.85908402622
414.4667320316566,281.77954288939975
596.0136953190676,141.36591745564692
596.2880085423949,144.70133982030802
596.4178134414284,146.2796602455046
589.1161075368708,184.33238060021358
589.1627383089844,184.67221544124914
589.506775719772,187.17948464365782
545.3491070283803,216.3947586784193
544.799646855604,215.12983832379405
545.6563006626877,217.10195366742687
558.6414283906211,175.9571242857453
559.0883880439175,177.42901961001962
559.69766455892,179.43544512742005
661.8594522937535,133.52232369048306
661.7568764559138,134.1484659508892
661.7934126048917,133.9254424066571
570.1019490781945,206.37369321650363
570.1792458784894,206.62532359891134
412.8228401328179,291.08437324043615
414.73875484694395,289.7418116455044
415.06197063536104,301.25697428449735
415.58886692114424,300.9369118125518
415.04209766589054,294.5958907528108
560.3117156935018,212.81725277086366
540.7684073981789,208.4793854205866
619.7316530250644,186.35330158546276
